category	category_count	category_unique_count	title
"Attributes"	618	91	1
"EconomicOperands"	7055	1323	1
"FunctionWords"	6988	134	1
"LegalReferences"	926	198	1
"LogicalConnectors"	1894	89	1
"Other"	322	47	1
"RegulatoryOperators"	682	63	1
"Attributes"	578	93	2
"EconomicOperands"	10654	1488	2
"FunctionWords"	12103	151	2
"LegalReferences"	2432	295	2
"LogicalConnectors"	3426	103	2
"Other"	405	49	2
"RegulatoryOperators"	815	72	2
"Attributes"	517	67	3
"EconomicOperands"	4435	838	3
"FunctionWords"	5687	112	3
"LegalReferences"	1645	465	3
"LogicalConnectors"	1709	61	3
"Other"	1044	59	3
"RegulatoryOperators"	325	39	3
"Attributes"	138	39	4
"EconomicOperands"	1240	409	4
"FunctionWords"	1418	94	4
"LegalReferences"	269	110	4
"LogicalConnectors"	383	49	4
"Other"	98	28	4
"RegulatoryOperators"	111	26	4
"Attributes"	197	67	5
"EconomicOperands"	2381	724	5
"FunctionWords"	2146	97	5
"LegalReferences"	329	121	5
"LogicalConnectors"	659	56	5
"Other"	128	41	5
"RegulatoryOperators"	159	34	5
"subprime crisis"	1	1	5
"Attributes"	465	72	6
"EconomicOperands"	4796	988	6
"FunctionWords"	5747	112	6
"LegalReferences"	1078	315	6
"LogicalConnectors"	1633	70	6
"Other"	447	56	6
"RegulatoryOperators"	474	59	6
"Attributes"	1666	122	7
"EconomicOperands"	20598	2026	7
"FunctionWords"	20448	166	7
"LegalReferences"	4240	592	7
"LogicalConnectors"	6632	114	7
"Other"	1388	70	7
"RegulatoryOperators"	2008	75	7
"Attributes"	231	46	8
"EconomicOperands"	2499	595	8
"FunctionWords"	2371	92	8
"LegalReferences"	390	147	8
"LogicalConnectors"	736	57	8
"Other"	66	25	8
"RegulatoryOperators"	258	43	8
"Attributes"	1657	194	9
"EconomicOperands"	17404	2370	9
"FunctionWords"	17839	180	9
"LegalReferences"	3144	687	9
"LogicalConnectors"	4743	130	9
"Other"	1386	68	9
"RegulatoryOperators"	1551	99	9
"Attributes"	1544	146	10
"EconomicOperands"	20808	2604	10
"FunctionWords"	21480	176	10
"LegalReferences"	3744	720	10
"LogicalConnectors"	6287	132	10
"Other"	1590	87	10
"RegulatoryOperators"	1838	100	10
"Attributes"	176	53	11
"EconomicOperands"	2127	629	11
"FunctionWords"	2406	91	11
"LegalReferences"	387	127	11
"LogicalConnectors"	615	60	11
"Other"	147	34	11
"RegulatoryOperators"	214	33	11
"Attributes"	53	19	12
"EconomicOperands"	534	229	12
"FunctionWords"	459	58	12
"LegalReferences"	68	25	12
"LogicalConnectors"	126	19	12
"Other"	22	10	12
"RegulatoryOperators"	48	14	12
"Attributes"	38	15	13
"EconomicOperands"	361	136	13
"FunctionWords"	414	41	13
"LegalReferences"	73	39	13
"LogicalConnectors"	96	18	13
"Other"	28	11	13
"RegulatoryOperators"	31	7	13
"Attributes"	1058	169	14
"EconomicOperands"	10906	1930	14
"FunctionWords"	10376	163	14
"LegalReferences"	1737	397	14
"LogicalConnectors"	2756	111	14
"Other"	730	76	14
"RegulatoryOperators"	821	78	14
"Attributes"	114	34	15
"EconomicOperands"	1462	519	15
"FunctionWords"	1483	79	15
"LegalReferences"	229	69	15
"LogicalConnectors"	325	35	15
"Other"	78	24	15
"RegulatoryOperators"	101	28	15
"Attributes"	6	3	16
"EconomicOperands"	39	28	16
"FunctionWords"	38	15	16
"LegalReferences"	10	9	16
"LogicalConnectors"	20	11	16
"Other"	12	10	16
"RegulatoryOperators"	3	2	16
