Regulation,Length,Cyclomatic,Quantity,Potential Volume,Operator Diversity,Level
0,32,5,5,17,4,0.53
1,42,7,6,23,5,0.55
2,33,5,6,16,4,0.48
3,53,13,6,23,4,0.43
4,14,1,3,9,3,0.64
5,30,1,5,20,4,0.67
6,44,6,6,23,6,0.52
7,48,8,6,21,5,0.44
8,29,6,5,14,4,0.48
9,28,5,5,15,4,0.54
10,14,1,3,9,3,0.64
11,19,3,3,12,4,0.63
12,31,6,5,14,4,0.45
13,37,6,6,18,4,0.49
14,14,1,3,9,3,0.64
15,51,13,5,23,5,0.45
16,41,7,5,16,5,0.39
17,21,2,4,13,3,0.62
18,31,6,5,17,4,0.55
19,33,2,5,22,5,0.67
20,39,9,6,18,4,0.46
21,15,2,3,9,3,0.6
22,48,11,6,23,7,0.48
23,37,5,6,21,5,0.57
24,42,7,6,25,5,0.6
25,29,3,5,17,4,0.59
26,16,1,3,11,3,0.69
27,16,2,3,10,4,0.63
28,57,11,6,28,6,0.49
29,35,4,5,20,5,0.57
30,28,3,5,15,4,0.54
31,50,13,5,25,5,0.5
32,33,7,5,15,4,0.45
33,30,5,5,17,5,0.57
34,38,8,6,15,4,0.39
35,29,3,5,18,4,0.62
36,10,1,2,7,3,0.7
37,29,6,5,13,4,0.45
38,15,2,3,9,3,0.6
39,14,1,3,9,3,0.64
40,1255,208,190,47,8,0.04
